1403636581063555584,0.01746,0.01762,0.15088,-0.02247,0.82290,0.03930,0.56638,0.06740,0.02649,0.64709,
1403636581163555328,0.02333,0.01862,0.21181,-0.02475,0.81520,0.03540,0.57756,0.05848,0.00542,0.53879,
1403636581263555584,0.02677,0.01790,0.26040,-0.02761,0.80577,0.03106,0.59077,0.02710,-0.00366,0.39443,
1403636581363555328,0.02653,0.01721,0.28724,-0.02744,0.79836,0.03119,0.60074,0.00845,-0.00440,0.08804,
1403636581463555584,0.02513,0.01526,0.28305,-0.02158,0.79902,0.03351,0.59998,0.00955,-0.01345,-0.26324,
1403636581563555584,0.02348,0.01237,0.25239,-0.01911,0.80572,0.03401,0.59101,0.02616,-0.00203,-0.51617,
1403636581663555328,0.02276,0.01053,0.20519,-0.02222,0.81232,0.03245,0.58188,0.03029,-0.02045,-0.60221,
1403636581763555584,0.01974,0.00634,0.15047,-0.02401,0.81492,0.03385,0.57809,0.01018,-0.01861,-0.61608,
1403636581863555328,0.01191,0.00251,0.08736,-0.02806,0.81649,0.03613,0.57555,-0.02242,-0.00679,-0.62029,
1403636581963555584,0.00266,0.00166,0.02125,-0.02936,0.82255,0.03357,0.56695,-0.03172,0.00929,-0.56674,
1403636582063555584,-0.00645,0.00151,-0.04105,-0.02646,0.83130,0.03128,0.55431,-0.03621,0.01936,-0.44553,
1403636582163555328,-0.00679,0.00293,-0.08814,-0.02800,0.83945,0.03353,0.54167,-0.02653,0.03084,-0.21199,
1403636582263555584,-0.00756,0.00600,-0.10368,-0.02979,0.84410,0.03603,0.53414,0.02271,0.02489,0.11222,
1403636582363555328,-0.00564,0.00958,-0.08096,-0.03264,0.84309,0.03677,0.53551,0.03417,0.03854,0.44012,
1403636582463555584,-0.00319,0.01304,-0.02956,-0.03399,0.83528,0.03620,0.54758,0.04406,0.02508,0.59498,
1403636582563555584,0.00046,0.01470,0.03400,-0.03061,0.82880,0.03593,0.55756,0.04140,0.00744,0.65537,
1403636582663555328,0.00317,0.01425,0.10107,-0.02487,0.82571,0.03439,0.56249,0.02570,-0.00852,0.66293,
1403636582763555584,0.00649,0.01246,0.16703,-0.02385,0.82253,0.03022,0.56742,0.04416,-0.02968,0.65180,
1403636582863555328,0.01079,0.00849,0.23191,-0.02078,0.81618,0.02132,0.57704,0.03371,-0.04098,0.63309,
1403636582963555584,0.01232,0.00475,0.28874,-0.01924,0.80655,0.01573,0.59065,-0.00274,-0.02842,0.48644,
1403636583063555584,0.01053,0.00249,0.32308,-0.01795,0.79842,0.01514,0.60165,-0.01807,-0.01391,0.19574,
1403636583163555328,0.00860,0.00053,0.32547,-0.01395,0.79698,0.01605,0.60363,-0.02142,-0.01402,-0.15061,
1403636583263555584,0.00707,-0.00000,0.29613,-0.01252,0.79883,0.01862,0.60114,-0.00811,-0.00361,-0.42146,
1403636583363555328,0.00765,-0.00120,0.24693,-0.01363,0.80153,0.02034,0.59746,-0.00927,-0.01847,-0.59489,
1403636583463555584,0.00647,-0.00347,0.18428,-0.01665,0.80485,0.02417,0.59276,-0.02694,-0.01499,-0.67756,
1403636583563555584,0.00540,-0.00684,0.11571,-0.01670,0.80929,0.02764,0.58651,-0.02372,-0.02211,-0.70156,
1403636583663555328,0.00431,-0.00920,0.04533,-0.01706,0.81740,0.02849,0.57511,-0.04449,0.00675,-0.68758,
1403636583763555584,0.00443,-0.01052,-0.01964,-0.02439,0.83014,0.02551,0.55643,-0.04289,-0.00633,-0.58651,
1403636583863555328,0.00184,-0.01047,-0.07409,-0.02596,0.83999,0.02396,0.54146,-0.04447,-0.00905,-0.47091,
1403636583963555584,-0.00138,-0.01009,-0.11332,-0.02292,0.84428,0.03002,0.53457,-0.04837,0.00877,-0.28490,
1403636584063555584,-0.00550,-0.00772,-0.12918,-0.02693,0.84480,0.03619,0.53318,-0.02177,0.02702,-0.02858,
1403636584163555328,-0.00530,-0.00535,-0.11566,-0.03135,0.84467,0.03940,0.53292,0.03394,0.01692,0.27602,
1403636584263555584,-0.00193,-0.00389,-0.07521,-0.03201,0.84369,0.04067,0.53433,0.05126,0.01524,0.49827,
1403636584363555328,0.00389,-0.00240,-0.01856,-0.03019,0.84154,0.04131,0.53776,0.08629,-0.00411,0.63773,
1403636584463555584,0.01245,-0.00292,0.04977,-0.02123,0.83859,0.04204,0.54272,0.09598,-0.00823,0.71121,
1403636584563555584,0.02095,-0.00221,0.12341,-0.01881,0.83214,0.03981,0.55282,0.09076,0.00322,0.74626,
1403636584663555328,0.02837,-0.00164,0.19739,-0.01592,0.82160,0.03390,0.56884,0.05815,0.00625,0.71434,
1403636584763555584,0.03188,-0.00086,0.26363,-0.01180,0.80965,0.02857,0.58610,0.02073,0.00756,0.60970,
1403636584863555328,0.03195,0.00090,0.31648,-0.01194,0.80085,0.02456,0.59825,-0.01631,0.02147,0.43413,
